Cod_setor,domi2V050,domi2V051,domi2V052,domi2V053,domi2V054,domi2V055,domi2V056,domi2V057,domi2V058,domi2V059
420140605000043,22,56,53,52,25,3,4,1,0,0
420140605000044,24,54,71,45,16,4,4,0,0,0
420140605000045,28,81,88,51,20,13,2,1,0,1
420140605000046,42,63,75,64,33,11,2,0,0,0
420140605000047,24,68,88,53,20,12,10,2,3,2
420140605000048,14,38,51,42,18,6,0,0,0,0
420140605000049,21,45,52,50,24,11,2,2,0,0
420140605000050,21,57,68,67,17,6,2,1,0,0
420140605000051,31,39,63,31,15,7,0,2,0,0
420140605000052,33,83,70,58,19,4,2,0,0,1
420140605000053,39,68,55,41,21,4,1,0,0,1
420140605000054,41,64,57,40,12,2,0,1,0,0
420140605000055,18,44,45,35,19,6,2,1,0,0
420140605000056,14,26,40,23,20,13,1,2,0,1
420140605000057,17,43,60,40,28,11,4,2,1,2
420140605000058,0,7,2,3,0,0,0,0,0,0
420140605000059,17,24,26,25,6,4,3,2,1,0
420140605000060,12,29,36,25,12,1,1,0,0,0
420140605000061,10,19,17,18,3,2,0,0,0,0
420140605000062,12,37,54,52,17,9,0,0,0,0
420140605000063,16,28,37,34,10,7,0,1,0,0
420140605000064,16,55,72,62,26,11,2,0,0,0
420140605000065,28,62,76,59,22,6,3,2,0,0
420140605000066,26,53,53,55,28,12,0,1,0,0
420140605000067,29,78,94,60,25,7,4,1,0,0
420140605000068,15,50,55,38,13,8,1,3,0,0
420140605000069,16,39,46,49,20,6,1,1,0,0
420140605000070,13,29,56,32,9,5,2,1,0,0
420140605000071,13,23,36,22,14,5,2,1,0,0
420140605000072,8,14,26,18,10,4,4,0,0,0
420140605000073,4,11,14,12,7,2,1,0,0,0
420140605000074,6,11,28,7,8,2,1,0,0,0
420140605000075,10,17,27,13,4,1,1,0,0,0
420140605000076,8,40,36,31,18,5,3,0,1,0
420140605000077,11,46,45,33,17,2,3,2,0,0
420140605000078,22,39,40,34,12,3,0,0,0,0
420140605000079,24,91,96,67,33,6,1,1,0,0
420140605000080,8,32,30,34,20,7,2,0,0,0
420140605000081,13,46,55,45,25,6,2,0,1,0
420140605000082,24,62,75,51,30,12,3,1,2,0
420140610000001,17,23,9,19,3,1,0,1,0,0
420140610000002,11,19,12,9,4,0,0,0,0,0
420140610000003,19,34,16,17,7,4,0,0,0,0
420140610000004,13,31,35,27,19,3,0,0,0,0
420140610000005,8,35,45,25,14,5,0,0,0,0
420140610000006,18,46,39,38,15,4,1,0,1,0
420140615000001,39,61,63,34,25,9,1,1,0,0
420140615000002,21,50,39,24,6,0,2,0,0,0
420140615000003,15,33,31,10,5,0,0,0,1,0
420140615000004,14,39,35,30,13,3,2,0,0,0
420140625000001,15,42,47,39,29,1,2,0,0,0
420140625000002,13,43,62,45,15,2,2,0,1,0
420140625000003,7,27,30,30,22,6,1,1,0,0
420140625000004,19,55,78,65,19,5,1,0,0,0
420140625000005,10,30,33,30,7,4,1,0,0,0
420140625000006,8,28,49,27,14,5,0,0,0,1
420150505000001,12,32,46,43,13,2,2,0,0,0
420150505000002,18,48,68,65,24,2,1,0,1,0
420150505000003,32,99,102,86,26,8,4,1,0,0
420150505000004,40,67,76,65,17,0,1,0,1,0
420150505000005,10,34,40,24,12,3,0,0,0,0
420150505000006,0,3,5,1,1,0,0,0,0,0
420150505000007,5,42,34,25,14,6,0,1,0,0
420150505000008,3,15,19,15,10,4,1,0,1,0
420150505000009,12,35,31,33,22,10,3,1,0,0
420150505000010,11,44,57,41,18,7,1,2,0,0
420150505000011,4,12,11,14,4,0,0,1,0,0
420150505000012,16,15,21,21,10,2,3,0,0,0
420150505000013,11,36,46,30,10,5,0,0,0,0
420150505000014,2,3,9,7,3,1,0,0,0,0
420150505000015,7,41,48,38,19,6,1,2,0,0
420150505000016,8,26,23,30,8,3,1,0,0,1
420150505000017,2,10,9,8,4,1,1,0,0,0
420150505000018,12,34,38,22,4,2,1,0,0,0
420150505000019,3,20,25,21,12,5,2,0,0,0
420160405000001,41,96,99,69,17,4,3,0,0,1
420160405000002,30,122,145,107,28,11,1,2,0,0
420160405000003,0,0,0,0,0,0,0,0,0,0
420160405000004,0,0,0,0,0,0,0,0,0,0
420160405000005,10,56,61,44,15,7,4,0,0,0
420160405000006,8,39,38,35,15,7,2,1,0,0
420165305000001,10,26,47,41,14,7,2,1,0,0
420165305000002,8,22,35,50,23,4,9,2,0,0
420165305000003,10,42,41,48,23,11,3,1,0,0
420165305000004,4,16,34,34,16,8,1,0,0,0
420165305000005,0,2,4,6,5,0,0,0,0,0
420165305000006,0,0,0,0,0,0,0,0,0,0
420165305000007,0,0,0,0,0,0,0,0,0,0
420170305000001,25,72,68,46,19,7,2,0,0,1
420170305000002,16,44,58,36,20,6,0,1,0,0
420170305000003,15,44,51,47,19,7,2,0,0,0
420170305000004,25,66,53,49,25,8,2,1,0,0
420170305000005,31,72,91,72,14,7,3,1,0,0
420170305000006,23,62,71,48,23,10,6,2,0,0
420170305000007,28,60,63,58,20,18,4,3,2,0
420170305000008,18,65,81,53,30,6,4,1,2,0
420170305000009,13,32,49,24,22,9,0,2,1,0
420170305000010,0,0,0,0,0,0,0,0,0,0
420170305000011,0,0,0,0,0,0,0,0,0,0
420170305000012,16,64,60,51,17,4,2,0,0,0
420170305000013,10,18,17,12,2,4,1,0,0,0
420180205000001,40,64,56,47,14,7,2,0,0,0
420180205000002,21,41,47,29,20,9,1,1,0,0
420180205000003,8,27,26,20,11,6,1,0,0,0
420180205000004,10,27,22,38,12,4,1,0,1,0
420180205000005,7,25,20,20,10,1,1,0,0,0
420180205000006,0,7,4,0,2,0,1,0,0,0
420180205000007,0,0,0,0,0,0,0,0,0,0
420180205000008,2,9,4,4,0,1,0,0,0,0
420180205000009,0,0,0,0,0,0,0,0,0,0
420180205000010,1,1,8,3,3,0,0,0,0,0
420180205000011,11,45,35,25,12,8,1,0,0,0
420180205000012,11,21,29,19,11,2,0,0,0,0
420180205000013,7,16,26,14,10,3,1,1,0,0
420190105000001,16,47,34,34,11,2,1,0,0,0
420190105000002,0,5,6,8,2,1,0,0,0,0
